Date;rainfall[mm];TURC [mm d-1];Discharge[ls-1]
05.06.2013;0;3.6;24.222246
06.06.2013;0;5.12;19.870631
07.06.2013;0;5.16;16.482535
08.06.2013;0;4.82;14.196014
09.06.2013;0.852389941;2.36;13.547897
10.06.2013;0.794100111;1.82;12.503125
11.06.2013;0;4.03;10.14463
12.06.2013;0;2.63;7.988602
13.06.2013;6.97525817;2.7;7.099181
14.06.2013;0.110118225;2.75;7.62865
15.06.2013;0;2.41;6.072319
16.06.2013;0;3.56;4.959866
17.06.2013;0;5.21;4.307747
18.06.2013;0;5.85;3.575091
19.06.2013;0;6.01;3.221764
20.06.2013;5.437790195;2.37;3.453995
21.06.2013;1.581458717;3.5;3.695777
22.06.2013;0;3.18;3.149866
23.06.2013;0;2.9;3.050426
24.06.2013;3.06557465;2.13;3.158111
25.06.2013;2.5305722;1.54;3.184428
26.06.2013;0;1.8;3.059972
27.06.2013;1.709660985;1.76;3.070111
28.06.2013;0.102023852;1.45;2.96429
29.06.2013;6.390260901;2.24;3.208235
30.06.2013;0;2.7;2.971959
01.07.2013;0;4.28;2.751832
02.07.2013;0;4.66;2.570896
03.07.2013;12.85463175;1.72;3.414943
04.07.2013;0;2.77;3.114361
05.07.2013;0;3.24;2.75413
06.07.2013;0;5.17;2.543549
07.07.2013;0;5.54;2.39239
08.07.2013;0;5.54;2.246893
09.07.2013;0;5.06;2.153437
10.07.2013;0;5.03;2.092768
11.07.2013;0;3.09;2.101726
12.07.2013;0;3.72;2.092602
13.07.2013;0;3.81;2.020425
14.07.2013;0;3.86;2.014752
15.07.2013;0;4.49;1.920806
16.07.2013;0;4.55;1.842162
17.07.2013;0;5.13;1.783579
18.07.2013;0;5.26;1.64404
19.07.2013;0;5.5;1.572092
20.07.2013;0;4.93;1.523529
21.07.2013;0;5.62;1.497957
22.07.2013;0;5.71;1.451664
23.07.2013;2.298154545;3.12;1.479384
24.07.2013;0;3.18;1.546242
25.07.2013;10.25992882;2.93;3.046824
26.07.2013;0.101682369;2.92;2.146813
27.07.2013;0;5.53;1.722019
28.07.2013;0.721374121;2.72;1.666815
29.07.2013;0.221428694;1.69;1.667242
30.07.2013;0.524357188;3.41;1.275332
31.07.2013;2.053960584;2.84;1.087724
01.08.2013;0;5.36;0.92556
02.08.2013;0;5.42;0.67994
03.08.2013;0;3.33;0.601056
04.08.2013;0;4.69;0.555497
05.08.2013;0;4.82;0.514584
06.08.2013;7.303333928;3.79;1.105949
07.08.2013;3.80855636;2.17;0.928021
08.08.2013;0.100919618;1.79;0.842865
09.08.2013;0;2.51;0.757447
10.08.2013;0;3.38;0.64441
11.08.2013;0;3.62;0.523785
12.08.2013;7.477542821;2.06;0.90173
13.08.2013;0.100209282;2.86;0.752233
14.08.2013;0;3.23;0.67974
15.08.2013;0;3.83;0.582552
16.08.2013;0;4.39;0.477594
17.08.2013;0;3.22;0.441798
18.08.2013;0.242794923;1.48;0.388685
19.08.2013;6.434592375;3.16;0.659298
20.08.2013;0;2.5;0.48012
21.08.2013;0;3.82;0.451527
22.08.2013;0;3.77;0.455111
23.08.2013;0;3.04;0.414511
24.08.2013;10.08241353;2.82;0.615602
25.08.2013;6.338278859;1.3;1.954288
26.08.2013;1.339358863;1.34;1.102016
27.08.2013;0;3;0.732772
28.08.2013;0;2.06;0.541513
29.08.2013;0;3.47;0.472273
30.08.2013;0;3.28;0.422664
31.08.2013;3.881978578;1.77;0.5262
01.09.2013;0;2.01;0.539527
02.09.2013;0;1.63;0.373824
03.09.2013;0;1.92;0.34133
04.09.2013;0;3.63;0.308851
05.09.2013;0;3.92;0.282294
06.09.2013;0;3.75;0.389839
07.09.2013;5.254480544;1.62;0.638005
08.09.2013;2.931308381;1.29;0.846853
09.09.2013;8.754058908;2.02;0.864731
10.09.2013;8.642156781;1.22;4.892612
11.09.2013;6.145993078;1.25;4.215498
12.09.2013;0.119762437;1.13;2.351649
13.09.2013;0;1.26;1.379381
14.09.2013;4.481439921;1.1;1.398035
15.09.2013;0.102164633;1.43;1.321851
16.09.2013;2.829495091;1.37;1.438225
17.09.2013;3.019424741;1.55;1.207433
18.09.2013;2.418850364;1.08;1.649967
19.09.2013;0.339904309;1.3;1.248832
20.09.2013;0.416842924;1;1.081575
21.09.2013;0;1.39;0.864161
22.09.2013;0;1.09;0.918095
23.09.2013;0;1.03;1.002674
24.09.2013;0;1.9;1.230696
25.09.2013;0.104126817;1.09;0.961648
26.09.2013;0;1.72;0.870806
27.09.2013;0;1.99;0.783057
28.09.2013;0;1.84;0.862506
29.09.2013;0;2.17;0.719318
30.09.2013;0;1.27;0.70849
01.10.2013;0;1.49;0.551869
02.10.2013;0.139605658;1.56;0.569545
03.10.2013;0.135465455;1.74;0.693346
04.10.2013;0.486915303;0.91;0.569029
05.10.2013;40.09104036;0.76;20.710242
06.10.2013;2.232833805;0.86;18.880871
07.10.2013;0;1.56;6.865578
08.10.2013;0;0.86;4.494264
09.10.2013;3.301907369;0.85;3.55993
10.10.2013;4.255136777;0.87;6.741104
11.10.2013;5.041018327;0.49;6.568946
12.10.2013;1.379946759;0.45;7.008824
13.10.2013;0;0.55;6.229404
14.10.2013;0.492223417;0.91;4.869489
15.10.2013;6.814980741;0.95;7.707324
16.10.2013;0.304096502;0.68;6.104659
17.10.2013;1.505540682;0.82;4.822442
18.10.2013;0.10040615;1.22;4.128956
19.10.2013;0.243177623;1.63;3.766368
20.10.2013;0.114730218;0.84;3.113281
21.10.2013;0.226526953;1.26;2.581633
22.10.2013;0;1.7;2.376996
23.10.2013;7.682525126;1.05;4.885591
24.10.2013;0.933513103;0.97;4.477026
25.10.2013;0.303026512;0.71;3.744079
26.10.2013;5.817549482;0.86;4.321705
27.10.2013;7.935183086;1.27;13.372075
28.10.2013;2.394564061;0.81;10.924528
29.10.2013;0;0.81;7.84025
30.10.2013;0;1.19;6.144879
31.10.2013;0.102589793;0.42;5.52428
01.11.2013;4.536972774;0.48;5.37625
02.11.2013;8.742921673;0.64;23.563112
03.11.2013;2.881930638;0.94;26.079943
04.11.2013;2.417554909;0.55;15.886635
05.11.2013;6.073303558;0.55;13.810492
06.11.2013;2.874053043;0.55;16.200393
07.11.2013;0.108775183;0.69;16.683825
08.11.2013;12.60252541;0.63;26.413423
09.11.2013;1.087939523;0.7;39.878779
10.11.2013;0.756460321;0.41;29.035381
11.11.2013;0;0.67;22.71978
12.11.2013;0.203469691;0.3;19.457412
13.11.2013;0.405318362;0.55;16.657586
14.11.2013;0.103863682;0.15;14.983722
15.11.2013;0;0.5;12.390164
16.11.2013;0;0.22;10.322547
17.11.2013;0;0.18;9.210179
18.11.2013;0;0.32;8.780785
19.11.2013;4.75061329;0.32;8.341947
20.11.2013;3.832149213;0.3;15.653733
21.11.2013;0.960402178;0.19;13.222447
22.11.2013;0;0.21;11.520031
23.11.2013;0;0.33;9.950161
24.11.2013;0.17472882;0.4;8.831097
25.11.2013;0;0;8.149278
26.11.2013;0.103396806;0;7.775023
27.11.2013;0;0;7.094008
28.11.2013;0.209165999;0.04;6.339268
29.11.2013;2.96566331;0.22;6.693626
30.11.2013;0.116078324;0.32;6.767524
01.12.2013;0;0.38;6.159252
02.12.2013;0.121298543;0.46;5.712104
03.12.2013;0.103646034;0;5.713076
04.12.2013;0.123601635;0.12;5.09869
05.12.2013;3.402407102;0.16;5.265348
06.12.2013;3.861503302;0.12;5.7021
07.12.2013;1.138084118;0.2;5.441679
08.12.2013;0;0.34;5.905663
09.12.2013;0;0.37;5.57394
10.12.2013;0;0.32;5.182886
11.12.2013;0;0.31;5.25084
12.12.2013;0;0.2;5.425117
13.12.2013;0;0.12;5.185625
14.12.2013;0.930704948;0.11;4.845879
15.12.2013;0.308176053;0.11;4.671676
16.12.2013;0.100456762;0;4.840734
17.12.2013;0.105810912;0;4.596398
18.12.2013;0.10402947;0;4.145028
19.12.2013;2.686598633;0.32;4.403819
20.12.2013;0.220794354;0.19;3.980393
21.12.2013;0.145733961;0.11;3.824123
22.12.2013;4.618957859;0.41;3.94586
23.12.2013;4.771291202;0.53;12.347619
24.12.2013;0.622817277;0.48;10.176256
25.12.2013;5.386000407;0.4;15.453304
26.12.2013;2.389800342;0.33;14.312491
27.12.2013;0.154930708;0.35;15.322006
28.12.2013;3.935106315;0.42;14.652353
29.12.2013;1.77139605;0.27;22.499784
30.12.2013;0.232819401;0.14;18.27357
31.12.2013;0;0.19;17.510973
01.01.2014;0.948386327;0.28;16.402562
02.01.2014;1.443235282;0.35;15.506874
03.01.2014;0.53317163;0.37;13.986495
04.01.2014;0;0.33;13.023909
05.01.2014;2.291219427;0.39;13.422182
06.01.2014;6.278177447;0.3;12.729805
07.01.2014;1.368826654;0.9;21.626249
08.01.2014;0.251187761;0.73;18.437388
